year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2010,Pennsylvania,29067340352.58798,15288237519.559864,406415214.40285516,27993015190.276737,14333.983751880249
2010,Rhode Island,2489921047.772141,1425279680.755769,26637178.920226913,2466210114.817556,16981.08740873904
2010,South Carolina,8626271723.22935,4165418035.4918003,359406462.86484206,8626048744.64543,10142.644572953735
2010,South Dakota,1431029109.54979,733559661.7333437,58208476.50682852,1394191285.3188536,9779.424528561469
2010,Tennessee,9386538418.802124,5470616959.344127,256010893.4093077,9449318657.954372,8781.119739883334
2010,Texas,55083538416.785446,28339826945.27027,1242292651.74734,56139821927.68167,9908.202544300546
2010,Utah,4913995068.48388,2575810564.586776,346591159.35323954,4883222397.117552,6998.039521957662
2010,Vermont,1803328215.3796868,1004007845.2791576,37797274.38086546,1695304395.957827,17735.04416755329
2010,Virginia,16171931521.928425,8859467001.281496,639751956.756292,15845369578.287796,11990.664132149539
2010,Washington,13007116352.9263,6530075615.493074,331176100.6692317,12524160358.620064,10676.467971530248
2010,West Virginia,3777731064.051886,2210147110.338546,50361580.73445812,3765827454.9590425,12909.720911142093
2010,Wisconsin,12222628530.11525,6701168950.215205,252643581.6390927,11711733170.103638,12664.272214477014
2010,Wyoming,1880340796.1073945,868113662.054353,78187880.44268444,1852997991.8082602,17442.266798437096
2010,American Samoa,83311109.07483856,35657391.00599846,2200247.244244598,84527148.87079467,4569.968558535422
2010,Guam,278387051.0360916,146033857.09806195,5814258.068610815,265334040.9181036,7890.680297721686
2010,Northern Mariana Islands,79938908.1426927,33200648.773072053,1314032.1612659134,70119051.71985637,5847.842714715486
2010,Puerto Rico,4783195791.533101,1922400995.9352689,107092380.14135359,4295418228.344915,6623.8128095535085
2010,Virgin Islands,292872420.4998074,131443819.72488718,470240.0788054444,247187949.431646,14978.974497376821
2011,Alabama,7881268619.204105,4104078894.147267,99567884.35105073,7763015284.191097,9066.188962340902
2011,Alaska,2635749938.5841765,1300320840.7311094,70214255.43233055,2551426653.047204,18861.1300797105
2011,Arizona,10418564777.568186,4808785720.308631,361338593.71873266,9871846241.595877,8559.370113675264
2011,Arkansas,5626999553.907872,2790677218.9801545,263104665.1132663,5618675452.304709,10071.290763273599
2011,California,72410075250.06183,37002694240.06762,809485354.5740669,69598369784.15057,9655.165813842863
2011,Colorado,9411660915.532368,4535434612.10594,326888342.17546535,8859413762.687689,9554.86903115956
